Instance,Jobs,Tools,Magazine,Solution,ExecutionTime(s)
SAIDA_1_instancia_10x10_C18_1.csv,10,10,18,0,12983
SAIDA_2_instancia_10x10_C18_1.csv,10,10,18,0,13140
SAIDA_3_instancia_10x10_C18_1.csv,10,10,18,0,12887
SAIDA_4_instancia_10x10_C18_1.csv,10,10,18,0,13366
SAIDA_5_instancia_10x10_C18_1.csv,10,10,18,0,13522
SAIDA_6_instancia_10x10_C18_1.csv,10,10,18,0,16738
SAIDA_7_instancia_10x10_C18_1.csv,10,10,18,0,16564
SAIDA_8_instancia_10x10_C18_1.csv,10,10,18,0,17032
SAIDA_9_instancia_10x10_C18_1.csv,10,10,18,0,17063
SAIDA_10_instancia_10x10_C18_1.csv,10,10,18,0,13566
SAIDA_1_instancia_10x10_C15_4.csv,10,10,15,0,13858
SAIDA_2_instancia_10x10_C15_4.csv,10,10,15,0,13341
SAIDA_3_instancia_10x10_C15_4.csv,10,10,15,0,17307
SAIDA_4_instancia_10x10_C15_4.csv,10,10,15,0,21830
SAIDA_5_instancia_10x10_C15_4.csv,10,10,15,0,13402
SAIDA_6_instancia_10x10_C15_4.csv,10,10,15,0,15962
SAIDA_7_instancia_10x10_C15_4.csv,10,10,15,0,12996
SAIDA_8_instancia_10x10_C15_4.csv,10,10,15,0,13213
SAIDA_9_instancia_10x10_C15_4.csv,10,10,15,0,12764
SAIDA_10_instancia_10x10_C15_4.csv,10,10,15,0,14461
SAIDA_1_instancia_10x10_C18_2.csv,10,10,18,0,13674
SAIDA_2_instancia_10x10_C18_2.csv,10,10,18,0,17340
SAIDA_3_instancia_10x10_C18_2.csv,10,10,18,0,13456
SAIDA_4_instancia_10x10_C18_2.csv,10,10,18,0,15991
SAIDA_5_instancia_10x10_C18_2.csv,10,10,18,0,16630
SAIDA_6_instancia_10x10_C18_2.csv,10,10,18,0,20120
SAIDA_7_instancia_10x10_C18_2.csv,10,10,18,0,20134
SAIDA_8_instancia_10x10_C18_2.csv,10,10,18,0,16808
SAIDA_9_instancia_10x10_C18_2.csv,10,10,18,0,16301
SAIDA_10_instancia_10x10_C18_2.csv,10,10,18,0,15260
SAIDA_1_instancia_10x10_C18_3.csv,10,10,18,9,16980
SAIDA_2_instancia_10x10_C18_3.csv,10,10,18,9,17784
SAIDA_3_instancia_10x10_C18_3.csv,10,10,18,2,13249
SAIDA_4_instancia_10x10_C18_3.csv,10,10,18,9,14797
SAIDA_5_instancia_10x10_C18_3.csv,10,10,18,7,12632
SAIDA_6_instancia_10x10_C18_3.csv,10,10,18,2,17763
SAIDA_7_instancia_10x10_C18_3.csv,10,10,18,2,18693
SAIDA_8_instancia_10x10_C18_3.csv,10,10,18,9,13918
SAIDA_9_instancia_10x10_C18_3.csv,10,10,18,2,13429
SAIDA_10_instancia_10x10_C18_3.csv,10,10,18,9,18468
SAIDA_1_instancia_10x10_C18_5.csv,10,10,18,0,15896
SAIDA_2_instancia_10x10_C18_5.csv,10,10,18,0,17358
SAIDA_3_instancia_10x10_C18_5.csv,10,10,18,0,14262
SAIDA_4_instancia_10x10_C18_5.csv,10,10,18,0,24019
SAIDA_5_instancia_10x10_C18_5.csv,10,10,18,0,17708
SAIDA_6_instancia_10x10_C18_5.csv,10,10,18,0,14496
SAIDA_7_instancia_10x10_C18_5.csv,10,10,18,0,14328
SAIDA_8_instancia_10x10_C18_5.csv,10,10,18,0,17450
SAIDA_9_instancia_10x10_C18_5.csv,10,10,18,0,13803
SAIDA_10_instancia_10x10_C18_5.csv,10,10,18,0,14244
SAIDA_1_instancia_10x10_C18_4.csv,10,10,18,0,13676
SAIDA_2_instancia_10x10_C18_4.csv,10,10,18,0,12859
SAIDA_3_instancia_10x10_C18_4.csv,10,10,18,0,17299
SAIDA_4_instancia_10x10_C18_4.csv,10,10,18,0,13682
SAIDA_5_instancia_10x10_C18_4.csv,10,10,18,0,12477
SAIDA_6_instancia_10x10_C18_4.csv,10,10,18,0,12914
SAIDA_7_instancia_10x10_C18_4.csv,10,10,18,0,12375
SAIDA_8_instancia_10x10_C18_4.csv,10,10,18,0,13113
SAIDA_9_instancia_10x10_C18_4.csv,10,10,18,0,16912
SAIDA_10_instancia_10x10_C18_4.csv,10,10,18,0,13068
SAIDA_1_instancia_10x10_C21_1.csv,10,10,21,0,13139
SAIDA_2_instancia_10x10_C21_1.csv,10,10,21,0,12702
SAIDA_3_instancia_10x10_C21_1.csv,10,10,21,0,12862
SAIDA_4_instancia_10x10_C21_1.csv,10,10,21,0,13643
SAIDA_5_instancia_10x10_C21_1.csv,10,10,21,0,13389
SAIDA_6_instancia_10x10_C21_1.csv,10,10,21,0,12105
SAIDA_7_instancia_10x10_C21_1.csv,10,10,21,0,16184
SAIDA_8_instancia_10x10_C21_1.csv,10,10,21,0,14241
SAIDA_9_instancia_10x10_C21_1.csv,10,10,21,0,13268
SAIDA_10_instancia_10x10_C21_1.csv,10,10,21,0,13550
SAIDA_1_instancia_10x10_C21_2.csv,10,10,21,0,17449
SAIDA_2_instancia_10x10_C21_2.csv,10,10,21,0,18109
SAIDA_3_instancia_10x10_C21_2.csv,10,10,21,0,20906
SAIDA_4_instancia_10x10_C21_2.csv,10,10,21,0,12021
SAIDA_5_instancia_10x10_C21_2.csv,10,10,21,0,14376
SAIDA_6_instancia_10x10_C21_2.csv,10,10,21,0,13128
SAIDA_7_instancia_10x10_C21_2.csv,10,10,21,0,12679
SAIDA_8_instancia_10x10_C21_2.csv,10,10,21,0,12819
SAIDA_9_instancia_10x10_C21_2.csv,10,10,21,0,18307
SAIDA_10_instancia_10x10_C21_2.csv,10,10,21,0,12945
SAIDA_1_instancia_10x10_C21_3.csv,10,10,21,0,12314
SAIDA_2_instancia_10x10_C21_3.csv,10,10,21,0,11930
SAIDA_3_instancia_10x10_C21_3.csv,10,10,21,0,12661
SAIDA_4_instancia_10x10_C21_3.csv,10,10,21,0,18028
SAIDA_5_instancia_10x10_C21_3.csv,10,10,21,0,15448
SAIDA_6_instancia_10x10_C21_3.csv,10,10,21,0,17709
SAIDA_7_instancia_10x10_C21_3.csv,10,10,21,0,15209
SAIDA_8_instancia_10x10_C21_3.csv,10,10,21,0,18256
SAIDA_9_instancia_10x10_C21_3.csv,10,10,21,0,13657
SAIDA_10_instancia_10x10_C21_3.csv,10,10,21,0,12621
SAIDA_1_instancia_10x10_C21_5.csv,10,10,21,0,14179
SAIDA_2_instancia_10x10_C21_5.csv,10,10,21,0,14529
SAIDA_3_instancia_10x10_C21_5.csv,10,10,21,0,14009
SAIDA_4_instancia_10x10_C21_5.csv,10,10,21,0,13735
SAIDA_5_instancia_10x10_C21_5.csv,10,10,21,0,12314
SAIDA_6_instancia_10x10_C21_5.csv,10,10,21,0,12384
SAIDA_7_instancia_10x10_C21_5.csv,10,10,21,0,12245
SAIDA_8_instancia_10x10_C21_5.csv,10,10,21,0,11898
SAIDA_9_instancia_10x10_C21_5.csv,10,10,21,0,11254
SAIDA_10_instancia_10x10_C21_5.csv,10,10,21,0,12973
